DATA/PARCELA/VALOR DISTRIBUIDO
, , 
FPE   - FUNDO DE PARTICIPACAO DOS ESTADOS, , 
DATA, PARCELA, VALOR DISTRIBUIDO
, , 
10.11.2025, PARCELA DE IPI, 15.067.242_60C
, PARCELA DE IR, 172.348.271_79C
, RETENCAO PASEP, 1.874.155_13D
, DEDUCAO FUNDEB, 37.483.102_87D
, CONDICION.SAUDE, 22.489.861_72D
, TOTAL NA DATA, 125.568.394_67C
, , 
TOTAL POR PARCELA / NATUREZA, , 
, , 
, PARCELA DE IPI, 15.067.242_60C
, PARCELA DE IR, 172.348.271_79C
, RETENCAO PASEP, 1.874.155_13D
, DEDUCAO FUNDEB, 37.483.102_87D
, CONDICION.SAUDE, 22.489.861_72D
, , 
, DEBITO FUNDO, 61.847.119_72D
, CREDITO FUNDO, 187.415.514_39C
IPI   - IPI EXPORTACAO, , 
DATA, PARCELA, VALOR DISTRIBUIDO
, , 
10.11.2025, IPI - ESTADO, 62.521.559_09C
, IPI-MUNICIPIOS, 20.840.519_70C
, PASEP ESTADO, 500.172_47D
, PASEP MUNICIPIO, 166.724_15D
, FUNDEB ESTADO, 12.504.311_81D
, FUNDEB MUNICIP, 4.168.103_94D
, TOTAL NA DATA, 66.022.766_42C
, , 
TOTAL POR PARCELA / NATUREZA, , 
, , 
, IPI - ESTADO, 62.521.559_09C
, IPI-MUNICIPIOS, 20.840.519_70C
, PASEP ESTADO, 500.172_47D
, PASEP MUNICIPIO, 166.724_15D
, FUNDEB ESTADO, 12.504.311_81D
, FUNDEB MUNICIP, 4.168.103_94D
, , 
, DEBITO FUNDO, 17.339.312_37D
, CREDITO FUNDO, 83.362.078_79C
ANP   - ROYALTIES DA ANP, , 
DATA, PARCELA, VALOR DISTRIBUIDO
, , 
06.11.2025, RETENCAO PASEP, 123.925_40D
, ANP-LEI 9478/97, 6.392.280_86C
, ANP-LEI 7990/89, 6.000.260_62C
, TOTAL NA DATA, 12.268.616_08C
, , 
TOTAL POR PARCELA / NATUREZA, , 
, , 
, RETENCAO PASEP, 123.925_40D
, ANP-LEI 9478/97, 6.392.280_86C
, ANP-LEI 7990/89, 6.000.260_62C
, , 
, DEBITO FUNDO, 123.925_40D
, CREDITO FUNDO, 12.392.541_48C
CFM   - COMPENSACAO FINANC. PELA EXPLORACAO MINERAL, , 
DATA, PARCELA, VALOR DISTRIBUIDO
, , 
12.11.2025, RETENCAO PASEP, 2.333_75D
, CFM-PRD.MINERAL, 233.375_77C
, TOTAL NA DATA, 231.042_02C
, , 
TOTAL POR PARCELA / NATUREZA, , 
, , 
, RETENCAO PASEP, 2.333_75D
, CFM-PRD.MINERAL, 233.375_77C
, , 
, DEBITO FUNDO, 2.333_75D
, CREDITO FUNDO, 233.375_77C
CFH   - COMPENSACAO FINANCEIRA RECURSOS HIDRICOS, , 
DATA, PARCELA, VALOR DISTRIBUIDO
, , 
03.11.2025, RETENCAO PASEP, 4.203_55D
, CFH-REC.HIDRICO, 420.355_91C
, TOTAL NA DATA, 416.152_36C
, , 
TOTAL POR PARCELA / NATUREZA, , 
, , 
